pull
put
rabbit
rain
read
rest
riding
road
rock
room
said
same
sang
saw
say
school
sea
seat
seem
seen
send
about
add
after
ago
any
apple
are
ask
ate
away
baby
back
bad
bag
base
bat
bee
been
before
being
best
bike
bill
bird
black
blue
boat
both
bring
brother
brown
bus
buy
cake
call
candy
change
child
city
clean
club
coat
cold
coming
corn
could
cry
cup
cut
daddy
dear
deep
deer
doing
doll
door
down
dress
drive
drop
dry
duck
each
eat
eating
egg
end
fall
far
farm
fast
father
feed
feel
feet
fell
find
fine
fire
first
fish
five
fix
flag
floor
fly
food
foot
four
fox
from
full
funny
game
gas
gave
girl
give
glad
goat
goes
going
gold
gone
grade
grass
green
grow
hand
happy
hard
has
have
hear
help
here
hill
hit
hold
hole
hop
hope
horse
house
how
ice
inch
inside
job
jump
just
keep
king
know
lake
land
last
late
left
leg
light
line
little
live
set
seven
sheep
ship
shoe
show
sick
side
sing
sky
sleep
small
snow
